Name,Class,Parent,ROI,Measurements
AI_Abnormal_1,Abnormal,,RECTANGLE (1536 0 256 256),AI_Confidence:0.750;Method:MONAI_Demo
AI_Abnormal_2,Abnormal,,RECTANGLE (2560 0 256 256),AI_Confidence:0.915;Method:MONAI_Demo
AI_Abnormal_3,Abnormal,,RECTANGLE (4096 0 256 256),AI_Confidence:0.739;Method:MONAI_Demo
AI_Abnormal_4,Abnormal,,RECTANGLE (9216 0 256 256),AI_Confidence:0.806;Method:MONAI_Demo
AI_Abnormal_5,Abnormal,,RECTANGLE (11776 0 256 256),AI_Confidence:0.754;Method:MONAI_Demo
AI_Abnormal_6,Abnormal,,RECTANGLE (14848 0 256 256),AI_Confidence:0.848;Method:MONAI_Demo
AI_Abnormal_7,Abnormal,,RECTANGLE (15872 0 256 256),AI_Confidence:0.983;Method:MONAI_Demo
AI_Abnormal_8,Abnormal,,RECTANGLE (18432 0 256 256),AI_Confidence:0.931;Method:MONAI_Demo
AI_Abnormal_9,Abnormal,,RECTANGLE (26624 0 256 256),AI_Confidence:0.811;Method:MONAI_Demo
AI_Abnormal_10,Abnormal,,RECTANGLE (27648 0 256 256),AI_Confidence:0.975;Method:MONAI_Demo
AI_Abnormal_11,Abnormal,,RECTANGLE (29184 0 256 256),AI_Confidence:0.905;Method:MONAI_Demo
AI_Abnormal_12,Abnormal,,RECTANGLE (33792 0 256 256),AI_Confidence:0.836;Method:MONAI_Demo
AI_Abnormal_13,Abnormal,,RECTANGLE (38400 0 256 256),AI_Confidence:0.991;Method:MONAI_Demo
AI_Abnormal_14,Abnormal,,RECTANGLE (39936 0 256 256),AI_Confidence:0.707;Method:MONAI_Demo
AI_Abnormal_15,Abnormal,,RECTANGLE (42496 0 256 256),AI_Confidence:0.911;Method:MONAI_Demo
AI_Abnormal_16,Abnormal,,RECTANGLE (49152 0 256 256),AI_Confidence:0.716;Method:MONAI_Demo
AI_Abnormal_17,Abnormal,,RECTANGLE (52224 0 256 256),AI_Confidence:0.757;Method:MONAI_Demo
AI_Abnormal_18,Abnormal,,RECTANGLE (53760 0 256 256),AI_Confidence:0.869;Method:MONAI_Demo
AI_Abnormal_19,Abnormal,,RECTANGLE (54272 0 256 256),AI_Confidence:0.805;Method:MONAI_Demo
AI_Abnormal_20,Abnormal,,RECTANGLE (56832 0 256 256),AI_Confidence:0.907;Method:MONAI_Demo
AI_Abnormal_21,Abnormal,,RECTANGLE (59392 0 256 256),AI_Confidence:0.906;Method:MONAI_Demo
AI_Abnormal_22,Abnormal,,RECTANGLE (60928 0 256 256),AI_Confidence:0.762;Method:MONAI_Demo
AI_Abnormal_23,Abnormal,,RECTANGLE (61440 0 256 256),AI_Confidence:0.915;Method:MONAI_Demo
AI_Abnormal_24,Abnormal,,RECTANGLE (62976 0 256 256),AI_Confidence:0.921;Method:MONAI_Demo
AI_Abnormal_25,Abnormal,,RECTANGLE (68096 0 256 256),AI_Confidence:0.711;Method:MONAI_Demo
AI_Abnormal_26,Abnormal,,RECTANGLE (71680 0 256 256),AI_Confidence:0.823;Method:MONAI_Demo
AI_Abnormal_27,Abnormal,,RECTANGLE (75264 0 256 256),AI_Confidence:0.735;Method:MONAI_Demo
AI_Abnormal_28,Abnormal,,RECTANGLE (76288 0 256 256),AI_Confidence:0.864;Method:MONAI_Demo
AI_Abnormal_29,Abnormal,,RECTANGLE (76800 0 256 256),AI_Confidence:0.766;Method:MONAI_Demo
AI_Abnormal_30,Abnormal,,RECTANGLE (78848 0 256 256),AI_Confidence:0.770;Method:MONAI_Demo
AI_Abnormal_31,Abnormal,,RECTANGLE (80896 0 256 256),AI_Confidence:0.911;Method:MONAI_Demo
AI_Abnormal_32,Abnormal,,RECTANGLE (81408 0 256 256),AI_Confidence:0.833;Method:MONAI_Demo
